Sw_m2,span_m,MAC_m,Sh_m2,Sv_m2,MTOW_t,Wempty_t,Wfuel_t,Wcruise_t,MLW_t,MLW_frac,CLmaxTO,CLmaxLD,CL_cruise,CD_cruise,CD0_cruise,CDwave_cruise,K_cruise,LD_cruise,deltaS_landing_m2,Sw_landing_required_m2,critical,T0_envelope_kN,T0_design_5pct_kN,Takeoff,Cruise,High speed cruise,FAR 25.111,FAR 25.121a,FAR 25.121b,FAR 25.121c,FAR 25.119,FAR 25.121d
381.0,63.849040713232334,7.151053043238842,67.23529411764706,47.62499999999999,275.8602042100549,141.4538879161256,99.70631629392929,263.6374258635425,204.13655111544065,0.74,2.1358098889122945,2.4351205991205775,0.6177538362548768,0.028402758377298082,0.014377185695930488,0.0022112536973547337,0.030958348900315662,21.749783174180667,71.8433002507835,309.1566997492165,Takeoff,740.769286535517,777.8077508622929,740.769286535517,710.1535354723889,718.5732131488561,353.03917578803697,364.9046588320195,495.7062994147931,343.34387174396244,280.4759793434696,382.31830438494524
382.0,63.93277719605179,7.160431477489495,67.41176470588235,47.75,275.93565843446055,141.56025564954157,99.675402784919,263.70955239460653,204.1923872415008,0.74,2.1360686426097266,2.4354656040504867,0.616305243700085,0.028310946520544975,0.01436046269488856,0.002192079854042274,0.030956842031361877,21.769150079558038,72.80254537525906,309.19745462474094,Takeoff,739.144782353045,776.1020214706972,739.144782353045,709.7158605846864,718.1734516539491,352.91250734085804,364.7759123439817,495.729932183816,343.20593819589504,280.52071689965703,382.30245536971506
383.0,64.01640414768701,7.169797644315303,67.58823529411764,47.87500000000001,276.0127413378122,141.6670536501455,99.64568768766671,263.7832349508249,204.24942858998102,0.74,2.1363264128276125,2.435809297674335,0.6148678426277431,0.028220055715942844,0.014343824739668136,0.002173177664088151,0.030955343176712308,21.788328443319664,73.75981082237041,309.2401891776296,Takeoff,737.5378389655539,774.4147309138316,737.5378389655539,709.2892853955686,717.7845120216354,352.7886031600553,364.6499546071409,495.7570360542464,343.07105128230086,280.567253529158,382.28942607848603
384.0,64.0999219968324,7.179151591729774,67.76470588235293,48.0,276.091426710301,141.77427540318425,99.6171513071168,263.85844850434967,204.30765576562274,0.74,2.136583205813935,2.4361516883227647,0.6134414874174369,0.028130071342173654,0.014327271169971222,0.0021545418316258344,0.030953852272600245,21.807320712256512,74.71512777953592,309.2848722204641,Takeoff,735.9481817379886,772.745590824888,735.9481817379886,708.873622781065,717.4062130207619,352.6674210850684,364.5267426777563,495.7875577511289,342.93916687060437,280.6155609703849,382.27917378311486
385.0,64.1833311693932,7.188493367434026,67.94117647058823,48.125,276.17168895138315,141.8819145466041,99.58977440477905,263.93516860856715,204.36704982402352,0.74,2.1368390277610776,2.4364927842522883,0.6120260353094871,0.02804097910424738,0.014310801332347536,0.002136167194400917,0.03095236925593367,21.826129288644676,75.66852671912505,309.33147328087495,Takeoff,734.37554222572,771.094319337006,734.37554222572,708.4686900239653,717.0383776668807,352.5489198896628,364.4062345687111,495.8214451980919,342.8102417808344,280.6656116082149,382.2716567079706
386.0,64.26663208851075,7.197823018819638,68.11764705882354,48.25,276.25350305136874,141.98996486642145,99.56353818494733,264.01337138056226,204.42759225801285,0.74,2.1370938848064602,2.4368325936461313,0.6106213463273349,0.027952765023963665,0.01429441458010581,0.002118048719573694,0.030950894064286368,21.844756531379076,76.62003741990765,309.37996258009235,Takeoff,732.8196579904272,769.4606408899485,732.8196579904272,708.0743086792763,716.6808330930296,352.43305925448146,364.28838922132127,495.85864748180427,342.68423375805,280.7173784546309,382.26683400183794
387.0,64.34982517458769,7.207140592971439,68.29411764705883,48.37499999999999,276.33684457369776,142.09842029226508,99.53842428143268,264.09303348423424,204.48926498453636,0.74,2.1373477830331664,2.437171124615073,0.6092272832026357,0.027865415430720866,0.014278110273226523,0.002100181499681199,0.030949426635889166,21.863204757068836,77.5696889877076,309.4303110122924,Takeoff,731.2802724228036,767.8442860439437,731.2802724228036,707.6903044447492,716.3334104253698,352.31979974060306,364.17316647818285,495.89911481774527,342.56110144577167,280.77083513008034,382.26466571085774
388.0,64.43291084531258,7.2164461366702914,68.4705882352941,48.50000000000001,276.42168963787356,142.20727489308518,99.51441474478837,264.1741321140393,204.55205033202645,0.74,2.1376007284705616,2.437508385198267,0.6078437113029513,0.027778916952657277,0.014261887778275929,0.002082560748751534,0.0309479669096213,21.88147624109608,78.51750987529158,309.4824901247084,Takeoff,729.7571345717879,766.2449913003773,729.7571345717879,707.3165070362448,715.9959446634629,352.2091027640645,364.0605270570102,495.9427985172295,342.44080436037166,280.8259558455226,382.26511275245423
389.0,64.51588951568442,7.225739696395826,68.6470588235294,48.625,276.5080149030247,142.31652287301935,99.49149203000532,264.2566449793278,204.61593102823826,0.74,2.1378527270949035,2.437844383364056,0.6064704985619241,0.027693256508110272,0.014245746468321482,0.0020651817985637934,0.030946514825001954,21.899573218639443,79.46352790153043,309.5364720984696,Takeoff,728.2499989800345,764.6624989290362,728.2499989800345,706.9527500677251,715.668274564978,352.1009305713059,363.95043252542365,495.98965095563244,342.3233028663857,280.8827153851337,382.26813689021157
390.0,64.59876159803684,7.235021318329151,68.82352941176471,48.75000000000001,276.5957975520668,142.4261585674103,99.46963898465651,264.3405502892548,204.68089018852945,0.74,2.1381037848299407,2.4381791270107724,0.6051075154118368,0.027608421297379424,0.014229685722848485,0.0020480400950469956,0.03094507032218187,21.917497885664083,80.40777026986211,309.5922297301379,Takeoff,726.7586255253427,763.09655680161,726.7586255253427,706.5988709356636,715.3502425346398,351.9952462154975,363.84284527664283,496.039625541764,342.20855815270136,280.9410890896388,382.27370070965173
391.0,64.68152750206198,7.244291048355537,69.0,48.875,276.68501527643866,142.5361764389676,99.44883883747104,264.4258267382342,204.74691130456463,0.74,2.1383539075475095,2.4385126239675308,0.6037546347184479,0.027524398794780757,0.014213704927678074,0.002031131194812084,0.030943633341935176,21.935252399879243,81.35026358609082,309.6497364139092,Takeoff,725.2827792677891,761.5469182311786,725.2827792677891,706.2547107076815,715.0416945172229,351.8920135337084,363.73772850604803,496.09267668833917,342.0965322095888,281.0010528402465,382.2817675948799
392.0,64.76418763483412,7.253548932067049,69.17647058823529,49.0,276.7756462613888,142.64657107406836,99.42907518732038,264.51245349191805,204.8139782334277,0.74,2.1386031010681137,2.4388448819950037,0.602411731718022,0.027441176740979914,0.01419780347488644,0.0020144507618111212,0.030942203825651236,21.952838881664885,82.29103387554363,309.70896612445637,Takeoff,723.8222303023283,760.0133418174448,723.8222303023283,705.9201140152309,714.7424798944269,351.7911971248858,363.6350461885735,496.14875978350193,341.9871878065378,281.0625830431585,382.29230170605865
