altitude_ft,altitude_m,Wfuel_t,MTOW_t,Wcruise_t,T0_design_5pct_kN,T0_envelope_kN,T0_installed_kN,critical,Cruise_kN,Takeoff_kN,High_speed_cruise_kN,CL_cruise,CD_cruise,LD_cruise,Mf_cruise,TSFC_1_per_hr,kT_cruise,rho_kg_m3,feasible_installed_thrust
33000.0,10058.4,102.47772040636667,285.98020807307677,273.3093223890915,755.7827372268267,719.7930830731683,863.0,High speed cruise,610.0112100354559,679.1466336297437,719.7930830731683,0.443695047582961,0.020253289920881788,21.907307371603725,0.7000008108047138,0.48293092384215774,0.200630352,0.4105356609475035,True
33050.0,10073.640000000001,102.44241996245601,285.9307711868105,273.2620678667662,755.6575826943238,719.6738882803083,863.0,High speed cruise,610.9651134564266,678.911848201094,719.6738882803083,0.444652814040218,0.020290223805226427,21.91463328884932,0.7000666317288837,0.4828580631969612,0.20021551920000003,0.40976210420243836,True
33100.0,10088.880000000001,102.40766518991065,285.882097944196,273.2155430037878,755.5343893488089,719.55656128458,863.0,High speed cruise,611.9272064308151,678.6807291200937,719.55656128458,0.4456142798919792,0.020327381038518347,21.921873705598614,0.7001314324089861,0.4827851815973451,0.19980068639999993,0.4089896667431849,True
33150.0,10104.12,102.37345939899564,285.8341929995132,273.16975224460674,755.4131676128319,719.4411120122209,863.0,High speed cruise,612.8975639508442,678.4532966295243,719.4411120122209,0.44657946846034746,0.020364763618460104,21.929027845701846,0.7001952054944954,0.4827122790279333,0.19938585359999994,0.40821834743850727,True
33200.0,10119.36,102.33980594217721,285.7870610659497,273.12470008986793,755.2939280684508,719.3275505413817,863.0,High speed cruise,613.8762619576944,678.2295712662457,719.3275505413817,0.4475484033009001,0.020402373567056105,21.936094926894217,0.7002579435612307,0.4826393554733313,0.19897102079999995,0.40744814515782096,True
33250.0,10134.6,102.30670821480885,285.7407069165557,273.08039109732124,755.1766814598966,719.2158871046635,863.0,High speed cruise,614.8633773567651,678.0095738660992,719.2158871046635,0.44852110820608376,0.020440212930998958,21.943074160733,0.700319639110273,0.48256641091812685,0.19855618800000008,0.4066790587711963,True
33300.0,10149.84,102.27416965583137,285.695135385219,273.03682988274915,755.061438696292,719.1061320917066,863.0,High speed cruise,615.8589880332356,677.7933255689105,719.1061320917066,0.44949760720867804,0.02047828378206358,21.949964752533695,0.700380284566864,0.48249344534688937,0.1981413552000001,0.40591108714935586,True
33350.0,10165.08,102.24219374848738,285.65035136765886,272.99402112091377,754.9482108544303,718.9982960518383,863.0,High speed cruise,616.8631728679364,677.5808478236023,718.9982960518383,0.4504779245853256,0.02051658821750932,21.95676590130505,0.7004398722792822,0.4824204587441703,0.1977265224,0.40514422916367443,True
33400.0,10180.32,102.21078402105087,285.6063598224424,272.95196954652346,754.8370091816107,718.8923896967719,863.0,High speed cruise,617.8760117535376,677.3721623934126,718.8923896967719,0.45146208486012623,0.020555128360489918,21.963476799682994,0.7004983945176975,0.4823474510945026,0.1973116896,0.4043784836861805,True
33450.0,10195.560000000001,102.17994404757137,285.5631657720194,272.91067995521905,754.7278450985405,718.7884239033718,863.0,High speed cruise,618.8975856110629,677.1672913612265,718.7884239033718,0.45245011280830794,0.020593906360472078,21.97009663386351,0.7005558434730036,0.4822744223824014,0.19689685680000002,0.40361384958955504,True
33500.0,10210.800000000001,102.1496774486337,285.52077430378006,272.87015720458027,754.6207302022902,718.6864097164669,863.0,High speed cruise,619.9279764067348,676.9662571350183,718.6864097164669,0.4534420334599641,0.020632924393662332,21.976624583534296,0.7006122112556276,0.48220137259236345,0.19648202400000003,0.4028503257471308,True
33550.0,10226.04,102.11998789213368,285.47919057113495,272.83040621515363,754.5156762693249,718.586358351738,863.0,High speed cruise,620.9672671691611,676.7690824534142,718.586358351738,0.454437872103865,0.02067218466344264,21.98305982180527,0.7006674898943163,0.48212830170886706,0.19606719119999994,0.40208791103289393,True
33600.0,10241.28,102.09087909406979,285.438419794616,272.7914319715009,754.4126952585889,718.4882811986561,863.0,High speed cruise,622.0155420068671,676.5757903913701,718.4882811986561,0.4554376542913467,0.020711689400814984,21.989401515137907,0.7007216713348982,0.4820552097163725,0.19565235839999995,0.4013266043214826,True
33650.0,10256.52,102.06235481935222,285.39846726300266,272.7532395232704,754.3117993146686,718.3921898234939,863.0,High speed cruise,623.0728861261907,676.3864043659801,718.3921898234939,0.4564414058402758,0.020751440864855097,21.995648823273317,0.7007747474390216,0.4819820965993217,0.19523752559999996,0.4005664044881865,True
33700.0,10271.76,102.03441888262758,285.35933833446927,272.7158339862894,754.2130007710175,718.2980959723976,863.0,High speed cruise,624.1393858495379,676.2009481423992,718.2980959723976,0.45744915283908955,0.02079144134317544,22.001800899159026,0.7008267099828667,0.48190896234213804,0.19482269279999997,0.39980731040894923,True
33750.0,10287.0,102.00707514912254,285.3210384377591,272.67922054368137,754.116312153255,718.2060115745285,863.0,High speed cruise,625.2151286340157,676.0194458399069,718.2060115745285,0.4584609216509235,0.020831693152398013,22.007856888874556,0.7008775506558335,0.48183580692922673,0.1944078600000001,0.399049320960365,True
33800.0,10302.24,101.98032753550493,285.2835730733821,272.64340444700554,754.0217461825399,718.1159487452761,863.0,High speed cruise,626.3002030904515,675.8419219380988,718.1159487452761,0.45947673891781793,0.020872198638636884,22.01381593155561,0.7009272610592011,0.48176263034497446,0.1939930272,0.39829243501967976,True
33850.0,10317.480000000001,101.95418001076266,285.24694781483794,272.6083910174208,753.9293157790132,718.0279197895364,863.0,High speed cruise,627.3946990027988,675.6684012832104,718.0279197895364,0.46049663156500686,0.020912960177990752,22.0196771593169,0.7009758327047626,0.4816894325737494,0.19357819440000001,0.39753665146479183,True
33900.0,10332.720000000001,101.9286365971024,285.21116830986557,272.57418564687487,753.8390340653249,717.9419372050713,863.0,High speed cruise,628.4987073479558,675.498909094587,717.9419372050713,0.4615206268052962,0.02095398017704594,22.025439697173592,0.7010232570134297,0.48161621359990164,0.19316336160000003,0.39678196917425224,True
33950.0,10347.960000000001,101.90370137086691,285.1762402817202,272.54079379931903,753.7509143702341,717.8580136859373,863.0,High speed cruise,629.6123203159922,675.3334709712939,717.8580136859373,0.46254875214353686,0.020995261073390233,22.031102662961377,0.7010695253138113,0.48154297340776203,0.19274852880000004,0.39602838702726173,True
34000.0,10363.2,101.8793784634734,285.1421695304775,272.5082210119482,753.664970232292,717.7761621259925,863.0,High speed cruise,630.7356313308,675.1721128988768,717.7761621259925,0.4635810353811764,0.02103680533613711,22.036665167254984,0.7011146288407609,0.48146971198164373,0.19233369599999994,0.39527590390367395,True
34050.0,10378.44,101.85567206237016,285.10896193436474,272.47647289646875,753.5812154036092,717.6963956224849,863.0,High speed cruise,631.86873507118,675.0148612562635,717.6963956224849,0.46461750462091544,0.02107861546646162,22.042126313285266,0.7011585587338965,0.4813964293058408,0.19191886319999996,0.39452451868399363,True
34100.0,10393.68,101.83258641201645,285.0766234511236,272.4455551403935,753.4996638537065,717.6187274797204,863.0,High speed cruise,633.0117274923758,674.8617428228374,717.6187274797204,0.465658188271456,0.02112069399814753,22.04748519685472,0.7012013060360874,0.4813231253646288,0.19150403039999997,0.39377423024937686,True
34150.0,10408.92,101.81012581488233,285.04516011940024,272.41547350836424,753.4203297734529,717.5431712128122,863.0,High speed cruise,634.1647058480622,674.7127847856538,717.5431712128122,0.46670311505234713,0.0211630434981462,22.052740906251433,0.7012428616919122,0.48124980014226476,0.19108919759999998,0.3930250374816302,True
34200.0,10424.16,101.78829463247149,285.0145780601678,272.3862338435047,753.3432275790981,717.469740551522,863.0,High speed cruise,635.3277687128029,674.568014746831,717.469740551522,0.46775231399893136,0.021205666567147535,22.05789252216139,0.7012832165460818,0.48117645362298717,0.1906743648000001,0.39227693926321333,True
34250.0,10439.4,101.76709728636546,284.9848834781788,272.35784206880203,753.268371916392,717.3984494441828,863.0,High speed cruise,636.5010160049915,674.4274607311041,717.3984494441828,0.4688058144674,0.021248565840163523,22.062939117579155,0.7013223613418332,0.4811030857910154,0.190259532,0.3915299344772345,True
34300.0,10454.640000000001,101.74653825929286,284.9560826634509,272.3303041885191,753.1957776648013,717.3293120617155,863.0,High speed cruise,637.684549010281,674.2911511935536,717.3293120617155,0.46986364613994686,0.021291743987124176,22.06787975771684,0.7013602867192855,0.4810296966305507,0.18984469920000002,0.39078402200745405,True
34350.0,10469.880000000001,101.72662209622067,284.92818199278514,272.3036262896383,753.125459941825,717.2623428017381,863.0,High speed cruise,638.8784704055246,674.1591150275104,717.2623428017381,0.47092583903003354,0.021335203713486642,22.072713499911266,0.7013969832137638,0.480956286125775,0.18942986640000004,0.39003920073828385,True
34400.0,10485.12,101.70735340547112,284.90118793131796,272.2778145433374,753.0574341074092,717.1975562927706,863.0,High speed cruise,640.0828842832319,674.0313815726417,717.1975562927706,0.47199242348777104,0.021378947760857848,22.07743939352944,0.7014324412540869,0.48088285426085187,0.18901503360000005,0.38929546955478567,True
34450.0,10500.36,101.68906410707322,284.8757292425029,272.25386070326783,752.9943125236623,717.1374404987259,863.0,High speed cruise,641.2998496531304,673.9109244512427,717.1374404987259,0.47306514259313726,0.02142304416480312,22.082069147313675,0.7014667938440068,0.480809401019926,0.18860020079999995,0.3885528273426718,True
34500.0,10515.6,101.67110976851811,284.8505777468679,272.2298143660217,752.9309547613225,717.077099772688,863.0,High speed cruise,642.5256048972584,673.7919313768004,717.077099772688,0.4741406314674585,0.021467366517904034,22.08657643554088,0.7014997455163701,0.4807359263871229,0.18818536799999996,0.387811272988305,True
